"clan","name","gender","words"
"Riverclan","Lightningpelt","Female","Lightningpelt is a light brown tabby she-cat with a distinctive white streak down her back"
"Riverclan","Lilyflower","Female","has blue eyes"
"Riverclan","Lilystem","Female","Lilystem is a pale gray tabby she-cat"
"Riverclan","Lizardtail","Male","Lizardtail is a light brown tom"
"Riverclan","Loudbelly","Male","Loudbelly is a dark brown tom"
"Riverclan","Mallownose","Male","Mallownose is a light brown tabby tom"
"Riverclan","Mallowtail","Female","Mallowtail is a tortoiseshell-tabby-and-white she-cat"
"Riverclan","Marshcloud","Male","Marshcloud is a stout brown tabby tom with a short tail"
"Riverclan","Meadowpelt","Male","No Description"
"Riverclan","Milkfur","Female","Milkfur is a white she-cat"
"Riverclan","Milkfur","Female","Milkfur is a gray-and-white tabby she-cat"
"Riverclan","Minnowkit","Unknown","No Description"
"Riverclan","Minnowkit","Female","Minnowkit is a dark gray she-cat"
"Riverclan","Minnowtail","Female","Minnowtail is a sleek-furred, dappled dark gray-and-white she-cat with amber eyes"
"Riverclan","Mintfur","Male","Mintfur is a light gray tabby tom"
"Riverclan","Mistpaw","Female","Mistpaw is a tortoiseshell-and-white tabby she-cat"
"Riverclan","Mistystar","Female","Mistystar is a lithe frail pale blue-gray she-cat with thick, sleek fur, a pink nose, a plumy tail, and wide ice-blue eyes. She has a dull and thinning pelt, and a graying muzzle."
"Riverclan","Molewhisker","Male","Molewhisker is a small black tom"
"Riverclan","Morningkit","Female","Morningkit is a gray-cream she-cat with a white dash"
"Riverclan","Mossleaf","Male","Mossleaf is a bright eyed tom"
"Riverclan","Mosspelt","Female","Mosspelt is a lithe tortoiseshell-and-white she-cat with blue eyes and soft, white chest fur"
"Riverclan","Mossyfoot","Female","Mossyfoot is a brown-and-white she-cat"
"Riverclan","Mothwing","Female","Mothwing is a dapled golden tabby she-cat with amber eyes"
"Riverclan","Mudfur","Male","Mudfur is a lean and lithe, thick-furred and long-haired light brown tom with a pale belly, wide shoulders, and golden eyes"
"Riverclan","Mudthorn","Male","Mudthorn is a brown tom with black ears"
"Riverclan","Nettlepad","Male","No Description"
"Riverclan","Nettlepaw","Male","Nettlepaw is a dark brown tabby tom"
"Riverclan","Nightsky","Female","Nightsky is a dark gray she-cat with blue eyes"
"Riverclan","Oakheart","Male","Oakheart is a dark, reddish-brown tom with amber eyes"
"Riverclan","Oatpaw","Male","No Description"
"Riverclan","Otterheart","Female","Otterheart is a dark brown she-cat"
"Riverclan","Ottersplash","Female","Ottersplash is a sleek, pale ginger she-cat with white patches and a torn ear"
"Riverclan","Owlfur","Male","Owlfur is a sleek-furred, brown-and-white tom with a white-splashed muzzle, and a small head"
"Riverclan","Owlnose","Male","Owlnose is a brown tabby tom"
"Riverclan","Pebblefoot","Male","Pebblefoot is a mottled gray tom"
"Riverclan","Perchkit","Male","Perchkit is a small black tom with green or blue eyes"
"Riverclan","Perchpaw","Male","Perchpaw is a plump, thick-furred gray tom with stubby front legs and blue eyes"
"Riverclan","Perchwing","Female","Perchwing is a gray-and-white she-cat"
"Riverclan","Petaldust","Female","Petaldust is a tortoiseshell she-cat"
"Riverclan","Petalfur","Female","Petalfur is a small gray-and-white she-cat with amber eyes"
"Riverclan","Pikepaw","Male","Pikepaw is a large dark gray tom"
"Riverclan","Pikepaw","Male","Pikepaw is a dark gray tom with dark mottled markings like a fish and blue eyes"
"Riverclan","Piketooth","Male","Piketooth is a skinny, graying, dark brown tabby tom with a narrow face, and protruding canine teeth"
"Riverclan","Pinefur","Female","Pinefur is a very shorthaired tabby she-cat"
"Riverclan","Podlight","Male","Podlight is a sturdy gray-and-white tom"
"Riverclan","Pouncetail","Male","Pouncetail is a ginger-and-white tom with a short tabby tail"
"Riverclan","Pricklekit","Male","Pricklekit is a white tom with brown tabby patches on his head and back, and green eyes"
"Riverclan","Primrosepaw","Female","Primerosepaw is a very pale creamy-brown she-cat with white paws"
"Riverclan","Rainfall","Male","Rainfall is a skinny black tom"
"Riverclan","Rainflower","Female","Rainflower is a soft-furred pale gray she-cat"
"Riverclan","Rainstorm","Male","Rainstorm is a mottled blue-gray tom"
"Riverclan","Reedshine","Female","Reedshine is a dark orange she-cat with soft fur"
"Riverclan","Reedshine","Female","Reedshine is a dark orange she-cat"
"Riverclan","Reedstar","Male","No Description"
"Riverclan","Reedtail","Male","Reedtail is a pale gray tabby tom. He has a long, stiff tail that is darker, thin, and straight like a reed."
"Riverclan","Reedwhisker","Male","Reedwhisker is a slender black tom with small, neat ears and dark gray eyes"
"Riverclan","Rippleclaw","Male","Rippleclaw is a sleek, grizzled black-and-silver tabby tom"
"Riverclan","Rippletail","Male","Rippletail is a dark gray tabby tom"
"Riverclan","Riverstar","Male","Riverstar is a stocky silver tom with sleek, long, thick fur, and green eyes"
"Riverclan","Robinkit","Male","Robinkit is a brown-and-ginger tom"
"Riverclan","Robinwing","Male","Robinwing is a pale-furred tortoiseshell-and-white tom"
"Riverclan","Rushpaw","Female","Rushpaw is a small, short-legged she-cat"
"Riverclan","Rushtail","Male","Rushtail is a light brown tabby tom"
"Riverclan","Sedgecreek","Female","Sedgecreek is a brown tabby she-cat with a long tail"
"Riverclan","Shadepelt","Female","Shadepelt is a dark brown she-cat"
"Riverclan","Shadepelt","Female","Shadepelt is a very dark gray she-cat"
"Riverclan","Shellheart","Male","Shellheart is a dappled gray tom with graying whiskers"
"Riverclan","Shimmerpelt","Female","Shimmerpelt is a silver-gray she-cat"
"Riverclan","Shimmerpelt","Female","Shimmerpelt is a night-black she-cat with a glossy pelt"
"Riverclan","Shyheart","Unknown","Shyheart is a pale brown cat"
"Riverclan","Silverpaw","Unknown","No Description"
"Riverclan","Silverpaw","Unknown","No Description"
"Riverclan","Silverstream","Female","Silverstream is a silver-and-black tabby she-cat with blue eyes"
"Riverclan","Skyheart","Female","Skyheart is a pale brown tabby she-cat withg reen eyes and torn ears"
"Riverclan","Sloefur","Female","Sloefur is a black she-cat"
"Riverclan","Snaketooth","Male","Snaketooth is a tom with a dark brown head"
"Riverclan","Sneezecloud","Male","Sneezecloud is a gray-and-white tom"
"Riverclan","Softpelt","Female","Softpelt is a dark gray she-cat"
"Riverclan","Softwing","Female","Softwing is a small, lithe, snowy-white she-cat with tabby patches"
"Riverclan","Spiketail","Male","Spiketail is a dark gray tom"
"Riverclan","Splashfoot","Male","Splashfoot is a pale gray tom"
"Riverclan","Splashheart","Male","Splashhheart is a thick-furred, dark gray tom with amber eyes"
"Riverclan","Splashkit","Male","Splashkit is a gray tom with lighter flecks"
"Riverclan","Splashpaw","Unknown","No Description"
"Riverclan","Splashtail","Male","Splashtail is a brown tabby tom"
"Riverclan","Stonefur","Male","Stonefur is a pale blue-gray tom with blue eyes"
"Riverclan","Stonestream","Male","Stonestream is a gray tom"
"Riverclan","Sunfish","Female","Sunfish is a pale gray she-cat with amber eyes"
"Riverclan","Sunspots","Female","Sunspots is a white she-cat with ginger splashes"
"Riverclan","Swallowtail","Female","Swallowtail is a plump, dark brown tabby she-cat with green eyes"
"Riverclan","Swankit","Unknown","Swankit is a silver tabby cat"
"Riverclan","Talonstar","Male","No Description"
"Riverclan","Tanglepaw","Male","Tanglepaw is a long-furred tom"
"Riverclan","Tanglewhisker","Male","Tanglewhisker is a long-haired tabby tom with a thick, knotted pelt, a wide, graying back, grizzled paws, and a ragged ear"
"Riverclan","Timberfur","Male","Timberfur is a big, burly graying dark brown tom with sleek fur"
"Riverclan","Troutclaw","Male","Troutclaw is a long-haired, gray tabby tom with a matted head"
"Riverclan","Troutstar","Male","Troutstar is a gray tom"
"Riverclan","Troutstream","Female","Troutstream is a pale gray tabby she-cat"
"Riverclan","Tumblekit","Female","Tumblekit is a black she-cat"
"Riverclan","Vixenleap","Female","Vixenleap is a black she-cat"
"Riverclan","Voleclaw","Male","Voleclaw is a gray tom"
"Riverclan","Volestar","Male","Volestar is a brown tabby tom"
"Riverclan","Voletooth","Male","Voletooth is a small brown tabby tom"
"Riverclan","Wavepaw","Female","Wavepaw is a silver-and-white she-cat with green eyes and a long tail"
"Riverclan","Whiteclaw","Male","Whiteclaw is a muscular dark brown tom with snowy-white paws and amber eyes"
"Riverclan","Whitefang","Male","Whitefang is a huge, broad-shouldered, pure, snowy-white tom with a tabby-striped tail and brown paws"
"Riverclan","Wildkit","Unknown","No Description"
"Riverclan","Willowbreeze","Female","Willowbreeze is a pale silver-gray tabby she-cat with soft fur and amber eyes"
"Riverclan","Willowkit","Female","Willowkit is a smoky-black she-cat"
"Riverclan","Willownose","Female","Willownose is a gray tabby she-cat"
"Riverclan","Willowshine","Female","Willowshine is a small, lithe, sleek, thick, and soft-furred, pale gray tabby she-cat with bright green eyes"
"Riverclan","Willowstar","Female","No Description"
"Riverclan","Woodkit","Male","Woodkit is a gray tabby tom"
"Shadowclan","Amberleaf","Female","Amberleaf is a dark orange she-cat with brown legs and ears, one of which is torn"
"Shadowclan","Antfur","Male","Antfur is a small, well-muscled tom with a splotched dark brown-and-black pelt. He has glossy fur, scars on his cheek, and amber eyes"
"Shadowclan","Applefur","Female","Applefur is a mottled brown she-cat"
"Shadowclan","Applefur","Female","Applefur is a mottled brown she-cat with pale green eyes"
"Shadowclan","Archeye","Male","Archeye is a gray tabby tom with black stripes, a thick stripe over his left eye, patchy fur, and green eyes"
"Shadowclan","Ashfur","Male","Ashfur is a thin and long-bodied gray tom with green eyes"
"Shadowclan","Ashheart","Female","Ashheart is a pale gray she-cat with blue eyes"
"Shadowclan","Badgerfang","Male","Badgerfang is a very tiny, fluffy black-and-white tom. His face is striped like a badger's."
"Shadowclan","Berryheart","Female","Berryheart is a black-and-white she-cat"
"Shadowclan","Birchkit","Male","Birchkit is a light brown tom"
"Shadowclan","Blackstar","Male","Blackstar is a tall, huge white tom with huge jet-black paws, one of which has six toes. He has a sleek pelt, a broad chest, black-rimmed ears, and amber eyes."
"Shadowclan","Blazefire","Male","Blazefire is a white-and-ginger tom with amber eyes"
"Shadowclan","Blizzardstar","Male","Blizzardstar is a white tom with green eyes"
"Shadowclan","Blizzardwing","Male","Blizzardwing is a mottled white tom"
"Shadowclan","Bloomkit","Female","Bloomkit is a black she-cat"
"Shadowclan","Blossomkit","Female","Blossomkit is a white she-cat"
"Shadowclan","Bluebellkit","Female","Bluebellkit is a white she-cat with green eyes"
"Shadowclan","Boulder","Male","Boulder is a big, skinny pale gray tom with a ragged left ear, a nicked right ear, and blue eyes"
"Shadowclan","Brackenfoot","Male","Brackenfoot is a pale ginger tom with dark ginger legs"
"Shadowclan","Brightflower","Female","Brightflower is an orange tabby she-cat with a broad, flat face, a snub nose, wide-set amber eyes, and traces of gray around her muzzle"
"Shadowclan","Brightwhisker","Female","Brightwhisker is a brown-and-white she-cat"
"Shadowclan","Brindlestar","Female","No Description"
"Shadowclan","Brownpaw","Male","Brownpaw is a brown tom"
"Shadowclan","Cedarheart","Male","Cedarheart is a muscular dark gray tom with yellow eyes"
"Shadowclan","Cedarstar","Male","Cedarstar is a very dark gray tom with a white underbelly, amber eyes, and a muzzle gray with age"
"Shadowclan","Cinderfur","Male","Cinderfur is a scarred, thin gray tom with orange eyes"
"Shadowclan","Cinnamontail","Female","Cinnamontail is a brown tabby she-cat with white paws, and glossy fur"
"Shadowclan","Cloudpelt","Male","Cloudpelt is a thick-furred white tom with blue eyes"
"Shadowclan","Cloverfoot","Female","Cloverfoot is a gray tabby she-cat"
"Shadowclan","Conefoot","Male","Conefoot is a white-and-gray tom"
"Shadowclan","Crowfrost","Male","Crowfrost is a sleek, black-and-white tom"
"Shadowclan","Crowtail","Female","Crowtail is a sleek, long-legged small black tabby she-cat with green eyes"
"Shadowclan","Darkflower","Female","Darkflower is a black she-cat"
"Shadowclan","Dawncloud","Female","Dawncloud is a small pale ginger tabby she-cat with blue eyes"
"Shadowclan","Dawnpelt","Female","Dawnpelt is a pale cream-furred she-cat"
"Shadowclan","Dawnstar","Female","Dawnstar is a lean creamy-brown she-cat with green eyes"
"Shadowclan","Deerfoot","Male","Deerfoot is a light brown tom"
"Shadowclan","Deerleap","Female","Deerleap is a gray tabby she-cat with white legs"
"Shadowclan","Dewkit","Female","Dewkit is a gray she-cat"
"Shadowclan","Dovewing","Female","Dovewing is a sleek, pale gray she-cat with green eyes and a torn ear"
"Shadowclan","Driftkit","Male","Driftkit is a gray tabby tom with blue eyes"
"Shadowclan","Fallowkit","Female","Fallowkit is a light brown she-cat"
"Shadowclan","Featherstorm","Female","Featherstorm is a dark brown tabby she-cat with yellow eyes"
"Shadowclan","Fernshade","Female","Fernshade is a slender tortoiseshell she-cat with yellow eyes"
"Shadowclan","Ferretclaw","Male","Ferretclaw is a cream-and-gray tom"
"Shadowclan","Finchflight","Male","Finchflight is a black-and-white tom"
"Shadowclan","Firkit","Male","Firkit is a brown tabby tom"
"Shadowclan","Flametail","Male","Flametail is a lean, orange flame-colored tom with broad shoulders and bright blue eyes"
"Shadowclan","Flaxfoot","Male","Flaxfoot is a brown tabby tom"
"Shadowclan","Flintfang","Male","Flintfang is a gray tom with very thick fur on his paws"
"Shadowclan","Flowerstar","Female","Flowerstar is a ginger-and-white she-cat"
"Shadowclan","Flowerstem","Female","Flowerstem is a small silver she-cat"
"Shadowclan","Foxheart","Female","Foxheart is a bright ginger she-cat with smooth fur"
"Shadowclan","Fringewhisker","Female","Fringewhisker is a white she-cat with brown splotches"
"Shadowclan","Frogtail","Male","Frogtail is a dark gray tom"
"Shadowclan","Frondwhisker","Female","Frondwhisker is a gray tabby she-cat"
"Shadowclan","Grassheart","Female","Grassheart is a pale brown tabby she-cat with glossy fur"
"Shadowclan","Gullswoop","Female","Gullswoop is a white she-cat"
"Shadowclan","Harelight","Male","Harelight is a white tom with a long tail"
"Shadowclan","Hollowbelly","Male","Hollowbelly is a black-and-white tom"
"Shadowclan","Hollowspring","Male","Hollowspring is a black tom"
"Shadowclan","Hollyflower","Female","Hollyflower is a sleek, long-legged dark gray-and-white she-cat with blue or green eyes"
"Shadowclan","Hollystar","Female","No Description"
"Shadowclan","Hopekit","Female","Hopekit is a tiny, cream and gray she-cat"
"Shadowclan","Hopwhisker","Female","Hopwhisker is a calico she-cat"
"Shadowclan","Houndstar","Male","Houndstar is a brown-and-white tom"
"Shadowclan","Ivytail","Female","Ivytail is a black, white, and tortoiseshell she-cat. She has a wiry frame and long fur."
"Shadowclan","Jumpfoot","Male","Jumpfoot is a black tom with green eyes"
"Shadowclan","Kinkfur","Female","Kinkfur is a sleek, dark gray tabby  she-cat with long, unkempt fur that sticks out at all angles"
"Shadowclan","Lakestorm","Male","No Description"
"Shadowclan","Lavenderkit","Unknown","Lavenderkit is a silver cat with darker spots"
"Shadowclan","Lightleap","Female","Lightleap is a dark brown tabby she-cat with amber eyes"
"Shadowclan","Lilyfur","Female","Lilyfur is a white she-cat"
"Shadowclan","Lilystar","Female","Lilystar is a pale gray she-cat"
"Shadowclan","Littlebird","Female","Littlebird is a small ginger tabby she-cat"
"Shadowclan","Littlecloud","Male","Littlecloud is a very small, thin, brown tabby tom. He has bright blue eyes, a light brown tail, and a brown nose"
"Shadowclan","Littlekit","Female","Littlekit is a pale brown tabby she-cat with blue eyes"
"Shadowclan","Lizardfang","Male","Lizardfang is a thick-furred, light brown tabby tom with one hooked tooth, skinny limbs, and a broad head"
"Shadowclan","Lizardstripe","Female","Lizardstripe is a pale brown tabby she-cat with a white underbelly, and yellow eyes."
"Shadowclan","Logfur","Male","Logfur is a dark brown tabby tom"
"Shadowclan","Marigoldkit","Female","Marigoldkit is a tiny tortoiseshell she-cat"
"Shadowclan","Marshkit","Male","Marshkit is a little patched brown tom with orange eyes"
"Shadowclan","Marshscar","Male","Marshscar is a heavily-scarred gray tom"
"Shadowclan","Mintkit","Male","Mintkit is a small gray tom"
"Shadowclan","Mistcloud","Female","Mistcloud is a spiky-furred, pale gray she-cat"
"Shadowclan","Molepelt","Male","Molepelt is a small, skinny, rumpled black tom with green eyes and a gray muzzle"
"Shadowclan","Mossfire","Female","Mossfire is a tortoiseshell she-cat"
"Shadowclan","Mossheart","Female","Mossheart is a dark tortoiseshell she-cat with yellow eyes"
"Shadowclan","Mosspaw","Male","Mosspaw is a big brown and white tom with very pale blue eyes"
"Shadowclan","Mothwing","Female","Mothwing is a dappled golden tabby she-cat with amber eyes"
"Shadowclan","Mousewing","Male","Mothwing is a black tom with long thick fur"
"Shadowclan","Mudclaw","Male","Mudclaw is a gray tom with brown legs"
"Shadowclan","Needletail","Female","Needletail is a sleek, silver-gray she-cat with white chest fur, she has a lithe, long body, a thick tail, a small gray nose, and bold green eyes"
"Shadowclan","Nettlespot","Female","Nettlespot is a thin white she-cat with ginger flecks, and blue eyes"
"Shadowclan","Newtspeck","Female","Newtspeck is a small black-and-ginger tabby she-cat"
"Shadowclan","Nightstar","Male","Nightstar is a small, lean, and battered, black tom with a long tail, and a short, glossy pelt. He has bright yellow-green eyes and nicked ears."
"Shadowclan","Nightwhisper","Male","Nightwhisper is a scrawny, sleek brown tom wih green eyes and a distinctive pointed muzzle."
"Shadowclan","Nightwing","Female","Nightwing is a black she-cat"
"Shadowclan","Nutwhisker","Male","Nutwhisker is a brown tom with amber eyes"
"Shadowclan","Oakfur","Male","Oakfur is a small light brown tom with green eyes"
"Shadowclan","Oakleaf","Female","Oakleaf is a she-cat with amber eyes"
"Shadowclan","Olivenose","Female","Olivenose is a tortoiseshell she-cat"
"Shadowclan","Owlclaw","Male","Owlclaw is a light brown tabby tom"
"Shadowclan","Palefoot","Male","Palefoot is a gray tabby tom"
"Shadowclan","Pinenose","Female","Pinenose is a black she-cat"
"Shadowclan","Poolcloud","Female","Poolcloud is a pale gray-and-white she-cat with blue eyes"
"Shadowclan","Pouncestep","Female","Pouncestep is a gray tabby she-cat wth dark amber eyes"
"Shadowclan","Pouncetail","Male","Pouncetail is a brown tabby tom"
"Shadowclan","Puddleshine","Male","Puddleshine is a sleek-furred brown tom with white splotches, pale blue eyes, and scars hidden under his thick pelt"
"Shadowclan","Quietkit","Unknown","Quietkit is a brown tabby cat"
"Shadowclan","Raggedstar","Male","Raggedstar is a large, muscular and broad-shouldered, dark brown tabby tom with patchy fur, scars on his nose, amber eyes, and a shredded, torn ear"
"Shadowclan","Ratscar","Male","Ratscar is a dark brown tom with a long scar across his back"
"Shadowclan","Redscar","Male","Redscar is a reddish-brown tabby tom with a jagged scar that stretches from his ear to his jawline, and pale eyes"
"Shadowclan","Redthistle","Female","Redthistle is a dark ginger she-cat"
"Shadowclan","Ripplestar","Male","Ripplestar is a black-and-orange tom with yellow eyes"
"Shadowclan","Rowanberry","Female","Rowanberry is a cream-and-brown she-cat with amber eyes"
"Shadowclan","Rowanclaw","Male","Rowanclaw is a lithe, flame-colored dark ginger tabby tom with amber eyes"
"Shadowclan","Rowankit","Male","Rowankit is a ginger tabby tom"
"Shadowclan","Rubblekit","Unknown","Rubblekit is a pale gray tabby cat"
"Shadowclan","Runningnose","Male","Runningnose is a small gray-and-white tom with patchy, grizzled, and ungroomed fur. He has a gray muzzle, and rheumy, amber eyes"
"Shadowclan","Russetfur","Female","Russetfur is a sleek, scrawny, dark ginger tabby she-cat with dark green eyes"
"Shadowclan","Sagewhisker","Female","Sagewhisker is a snowy-white she-cat with long whiskers, blue eyes, and a graying muzzle"
"Shadowclan","Scorchfur","Male","Scorchfur is a dark gray tom with ragged, slashed ears, one of which is torn"
"Shadowclan","Scorchwind","Male","Scorchwind is a ginger tabby tom"
"Shadowclan","Sedgestar","Male","Sedgestar is a long-legged, light brown tabby tom"
"Shadowclan","Shadowsight","Male","Shadowsight is a scrawny, little, dark gray tabby tom with wide, dark stripes along his flanks, amber eyes, and a shredded ear that he is unable to move. He is also scarred"
"Shadowclan","Shadowstar","Female","Shadowstar is a lithe, sleek and thick-furred, night-black she-cat with vivid, dark green eyes, the color of sunlight on fresh leaves."
"Shadowclan","Shrewfoot","Female","Shrewfoot is a gray she-cat with black paws"
"Shadowclan","Silverflame","Female","Silverflame is a thick-furred, orange-and-gray she-cat with amber eyes"
"Shadowclan","Silvermask","Male","Silvermask is a tom with a gray stripe on his face"
"Shadowclan","Slatefur","Male","Slatefur is a sleek gray tom"
"Shadowclan","Sloefur","Male","Sloefur is a black tom"
"Shadowclan","Smokefoot","Male","Smokefoot is a black tom"
"Shadowclan","Smokepaw","Male","Smokepaw is a dark gray tom"
"Shadowclan","Smoketalon","Male","Smoketalon is a mottled gray tom"
"Shadowclan","Snaketail","Male","Snaketail is a brown tabby tom"
"Shadowclan","Snaketail","Male","Snaketail is a dark brown tom with a tabby-striped tail and a gray-flecked chin"
"Shadowclan","Snaketooth","Female","Snaketooth is a honey-brown tabby she-cat"
"Shadowclan","Snowbird","Female","Snowbird is a sleek, lithe, well-muscled, pure white she-cat with green eyes, one of her forepaws is not as straight from an injury, and she walks with a limp"
"Shadowclan","Snowstar","Male","Snowstar is a gray tom"
"Shadowclan","Sparrowtail","Male","Sparrowtail is a large brown tabby tom"
"Shadowclan","Spiderfoot","Male","Spiderfoot is a gray tom with black front paws, and pale blue eyes"
"Shadowclan","Spireclaw","Male","Spireclaw is a black and white tom"
"Shadowclan","Splashnose","Female","Splashnose is a dusty-brown tabby she-cat with a white streak on her muzzle"
"Shadowclan","Spottedpaw","Male","Spottedpaw is a small brown tom with ginger flecks, and bright blue eyes"
"Shadowclan","Starlingwing","Male","Starlingwing is a ginger tom"
"Shadowclan","Stoatfur","Male or Female","Stoatfur is a skinny ginger tom OR a tortoiseshell-and-white she-cat"
"Shadowclan","Stonetooth","Male","Stonetooth is a thin, gray tabby tom with long teeth that curve out from under his lip, and a muzzle gray with age"
"Shadowclan","Stonewing","Male","Stonewing is a white tom with a kinked tail and dark blue eyes"
"Shadowclan","Streamkit","Female","Streamkit is a gray tabby she-cat"
"Shadowclan","Strikestone","Male","Strikestone is a brown tabby-and-white tom. One of his ears is shredded, and he has completely lost his hearing in that ear"
"Shadowclan","Sunbeam","Female","Sunbeam is a brown-and-white tabby she-cat with yellow eyes"
"Shadowclan","Sunnytail","Female","Sunnytail is a ginger-and-white she-cat with a bright orange tail"
"Shadowclan","Swampkit","Unknown","Swampkit is a white kit"
"Shadowclan","Tallpoppy","Female","Tallpoppy is a long-legged light brown tabby she-cat"
